Sensitive Column,Metric Calculation Time (s),Image Generation Time (s),Total Sensitive Columns,Total Rows,Total Execution Time (s)
Gender,2.816289186477661,1.6469323635101318,,,
Marital_Status,2.816419839859009,1.6621301174163818,,,
Employment_Status,2.7817132472991943,1.7527973651885986,,,
Has_Credit_Card,2.799572706222534,1.6778881549835205,,,
Is_Homeowner,2.804213762283325,1.6192820072174072,,,
Account_Type,2.8294692039489746,1.4335126876831055,,,
Customer_Segment,2.817763090133667,1.4702293872833252,,,
Preferred_Contact_Channel,2.798314332962036,1.499739646911621,,,
Summary,---,---,8,320132,37.24929332733154
